date,CPIAUCSL,inflation_mom,inflation_yoy
2018-04-01,250.227,0.2604406656061986,2.4709963021052994
2018-05-01,250.792,0.2257949781598212,2.781921607842497
2018-06-01,251.018,0.09011451720948305,2.8075506935940187
2018-07-01,251.214,0.07808204989283585,2.854124785561929
2018-08-01,251.663,0.17873207703393845,2.6429238568742575
2018-09-01,252.182,0.2062281702117419,2.332055105808828
2018-10-01,252.772,0.2339580144498754,2.492032470218053
2018-11-01,252.594,-0.07041919199911595,2.147328577667773
2018-12-01,252.767,0.06848935445813442,2.0023809043401064
2019-01-01,252.561,-0.08149798035343991,1.4875893578291333
2019-02-01,253.319,0.3001255142321968,1.5188615351321877
2019-03-01,254.277,0.37817929172307974,1.8831863513063984
2019-04-01,255.233,0.3759679404743643,2.000583470209061
2019-05-01,255.296,0.02468332856644384,1.7959105553606136
2019-06-01,255.213,-0.03251128102280676,1.671194894390049
2019-07-01,255.802,0.23078761661827762,1.826331335037068
2019-08-01,256.036,0.09147700174354512,1.7376412106666406
2019-09-01,256.43,0.1538846099767177,1.6844977040391562
2019-10-01,257.155,0.2827282299262768,1.7339736996186295
2019-11-01,257.879,0.281542260504386,2.092290394862917
2019-12-01,258.63,0.29122185210892493,2.3195274699624457
2020-01-01,259.127,0.19216641534238743,2.599767976845202
2020-02-01,259.25,0.04746707213065804,2.3413166797595197
2020-03-01,258.076,-0.4528447444551498,1.4940399642909163
2020-04-01,256.032,-0.7920147553434065,0.3130472940411133
2020-05-01,255.802,-0.08983252093487382,0.1982013035848551
2020-06-01,257.042,0.4847499237691677,0.7166562831830481
2020-07-01,258.352,0.5096443382793581,0.9968647625897997
2020-08-01,259.316,0.3731343283582156,1.2810698495523853
2020-09-01,259.997,0.2626139536318739,1.3910228912373812
2020-10-01,260.319,0.1238475828567287,1.2303863428671624
2020-11-01,260.911,0.2274132890799363,1.1757452138405844
2020-12-01,262.045,0.4346309661148906,1.3204191315779434
2021-01-01,262.687,0.24499608845809373,1.3738437137002402
2021-02-01,263.579,0.33956762230333837,1.6698167791706853
2021-03-01,264.961,0.524320981565296,2.6678187820641908
2021-04-01,266.614,0.6238653990587206,4.133077115360573
2021-05-01,268.383,0.6635060424433847,4.918257089467626
2021-06-01,270.654,0.8461787818155431,5.295632620349999
2021-07-01,271.903,0.4614747980816958,5.245169381309234
2021-08-01,272.676,0.2842925602144719,5.152015301793966
2021-09-01,273.91,0.4525517463950024,5.351215590949132
2021-10-01,276.55,0.9638202329232071,6.235042390298062
2021-11-01,278.919,0.8566262881938069,6.901970403700863
2021-12-01,280.845,0.6905230550805275,7.174340285065539
2022-01-01,282.543,0.6046039630400957,7.558805726967832
2022-02-01,284.5,0.6926379347568234,7.937278766517819
2022-03-01,287.674,1.115641476274165,8.572204966013853
2022-04-01,288.561,0.30833512934780316,8.231750770777225
2022-05-01,291.298,0.9484996239963239,8.538171195642065
2022-06-01,294.957,1.2561019986405686,8.979361103105798
2022-07-01,294.913,-0.014917428642136077,8.462576727730099
2022-08-01,295.097,0.062391281496565476,8.222579178218826
2022-09-01,296.349,0.42426727482827165,8.192106896425821
2022-10-01,298.007,0.5594754832984217,7.758813957693
2022-11-01,298.786,0.2614032556282231,7.122856456533988
2022-12-01,298.832,0.01539563433359259,6.404600402357152
2023-01-01,300.42,0.5314022594635093,6.327178517960097
2023-02-01,301.45,0.3428533386591992,5.957820738137087
2023-03-01,301.821,0.12307181953890023,4.917719362889961
2023-04-01,302.845,0.3392739405144063,4.950079879124369
2023-05-01,303.334,0.1614687381333635,4.131851231385042
2023-06-01,304.014,0.224175331482801,3.070617072997095
2023-07-01,304.609,0.1957146710348745,3.287749268428297
2023-08-01,306.082,0.4835707415079771,3.722504803505289
2023-09-01,307.276,0.3900915440960384,3.687206638119256
2023-10-01,307.696,0.13668493471667986,3.2512659098611785
2023-11-01,308.148,0.14689823722116024,3.1333462745911866
2023-12-01,308.741,0.1924399963653789,3.3159099427102934
2024-01-01,309.698,0.30996854969052023,3.0883429864855705
2024-02-01,310.967,0.40975401843086345,3.157074141648697
2024-03-01,312.345,0.4431338373525273,3.4868349120836584
2024-04-01,313.023,0.21706766556210955,3.3607951262196734
2024-05-01,313.175,0.04855873210594108,3.244278584003113
2024-06-01,313.044,-0.041829647960411886,2.9702579486470926
